员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
157,马娟,男,13620662896,eliu@example.net,在职,销售代表,销售部,2019-09-10,,
158,傅兰英,男,14541402086,longwei@example.net,在职,销售代表,销售部,2020-08-24,,
159,赵伟,女,13950777788,npan@example.org,在职,后端工程师,技术部,2014-10-29,,
160,李帆,女,15161429349,luona@example.net,在职,市场经理,市场部,2020-11-06,,
161,戴云,女,15232488538,taopeng@example.net,在职,前端工程师,技术部,2016-05-23,,
162,叶秀英,男,18229886401,guiyingwei@example.net,在职,后端工程师,技术部,2014-09-12,,规定作品其实使用自己.
163,欧刚,男,15925203552,zhangna@example.org,在职,人事经理,人事部,2017-06-01,,
164,陈雪梅,男,15634537410,jieqian@example.org,在职,后端工程师,技术部,2016-04-22,,
165,龚文,女,15541105886,ashao@example.net,在职,会计,财务部,2020-10-28,,产品分析能够控制一点法律位置.
166,王楠,女,18249549160,dongli@example.org,在职,市场专员,市场部,2016-02-04,,
167,江欢,女,14776974698,zlai@example.org,在职,HR专员,人事部,2016-11-01,,那些而且根据还是.
168,张芳,女,13317101587,xiuying81@example.net,离职,人事经理,人事部,2020-04-13,2020-11-04,
169,谢旭,男,15017958901,fwang@example.net,离职,会计,财务部,2019-06-08,2019-12-03,其中通过一直类型公司需要只是.
170,冯淑珍,女,15286389820,tdong@example.com,在职,市场专员,市场部,2015-08-01,,
171,刘丽娟,女,13217701685,gzheng@example.com,在职,测试工程师,技术部,2014-11-12,,认为学习文件经验威望以上没有.
172,王琴,女,13146908314,yang31@example.org,在职,后端工程师,技术部,2018-03-21,,
173,陈丽娟,女,18238093405,wei36@example.org,在职,财务主管,财务部,2019-05-23,,
174,贾红霞,男,13887568738,wfang@example.org,在职,市场专员,市场部,2014-04-06,,帖子方式对于结果大家.
175,傅淑华,女,15589565615,lixiang@example.com,在职,架构师,技术部,2020-06-28,,
176,张东,男,13332274031,xiuying18@example.net,在职,会计,财务部,2018-01-01,,
177,方建国,女,18735882808,yong95@example.com,在职,财务主管,财务部,2018-09-20,,
178,连斌,女,13445218326,lidai@example.net,在职,财务主管,财务部,2017-10-03,,文化电子之间质量然后如何.
179,邓辉,男,13282327140,jingsong@example.org,在职,HR专员,人事部,2014-05-29,,
180,李帆,男,18134808266,fang84@example.com,在职,会计,财务部,2020-10-22,,
181,赵柳,男,14512450697,jun17@example.net,在职,HR专员,人事部,2015-07-03,,
182,周波,女,13457731072,kongfang@example.net,在职,市场专员,市场部,2019-11-05,,技术应用学习历史系统标题但是.
183,马玉梅,男,13186025316,hfeng@example.org,在职,人事经理,人事部,2018-07-25,,法律服务企业全国推荐.
184,陈琳,男,18833383926,ming75@example.org,离职,前端工程师,技术部,2013-11-25,2015-04-29,
185,黄淑兰,女,13002132698,li94@example.com,离职,市场专员,市场部,2018-09-09,2019-02-03,主要发展地址学校.
186,周雷,女,15555102369,tanyan@example.org,在职,会计,财务部,2014-06-18,,
187,张桂荣,女,18279043634,yan05@example.org,在职,出纳,财务部,2020-12-09,,
188,姜帆,女,18016561315,jun55@example.net,在职,销售经理,销售部,2014-12-16,,
189,邓亮,男,18111926416,leili@example.org,在职,架构师,技术部,2015-11-14,,
190,朱梅,男,14574741027,li39@example.org,离职,HR专员,人事部,2015-01-04,2015-10-24,
191,车超,女,15863958124,xiulan42@example.com,离职,市场专员,市场部,2015-06-03,2020-08-31,
192,曾红梅,女,14794549927,jingyao@example.net,在职,人事经理,人事部,2020-02-07,,要求联系深圳汽车来源论坛更新当然.
193,张凤英,男,18500002251,ping13@example.org,在职,HR专员,人事部,2017-05-11,,
194,陈荣,男,18660228529,xiulanren@example.org,在职,出纳,财务部,2016-12-06,,
195,张瑞,女,13057920162,pingcui@example.net,在职,市场专员,市场部,2018-06-04,,部门报告一样国家.
196,李亮,女,13680836054,ming35@example.net,离职,会计,财务部,2020-02-08,2020-10-19,当然全国可是没有.
197,毛丽丽,男,13793895115,aluo@example.org,离职,财务主管,财务部,2014-07-12,2014-08-03,
198,陈刚,女,15325666733,tao11@example.com,离职,出纳,财务部,2019-08-15,2019-10-09,
199,陈建国,男,14730760690,juanzhao@example.com,离职,销售经理,销售部,2017-09-10,2017-12-09,运行操作然后到了谢谢根据设计.
200,陈兰英,男,13021066698,xiulan92@example.org,离职,销售经理,销售部,2017-06-28,2018-07-27,方法更新活动地址选择为了浏览.
201,周洋,男,18151142109,liguo@example.com,离职,人事经理,人事部,2017-03-14,2018-04-10,
202,戚敏,女,15940547141,duxiulan@example.org,在职,人事经理,人事部,2020-07-24,,
203,薛海燕,男,13650631350,xiejing@example.com,在职,出纳,财务部,2015-08-29,,
204,邓莉,女,15907599690,jingyi@example.com,在职,财务主管,财务部,2018-03-18,,
205,李莉,女,15332761495,yan20@example.net,在职,人事经理,人事部,2019-09-15,,
206,李峰,男,18539511300,lqian@example.com,在职,会计,财务部,2020-10-01,,
207,高红,男,18075869855,wxiang@example.com,在职,销售经理,销售部,2020-07-07,,
208,林红,男,14530533312,gpan@example.com,在职,人事经理,人事部,2020-01-01,,介绍汽车政府能力开始.
209,詹金凤,男,14772791616,xiuyingzhu@example.org,在职,财务主管,财务部,2018-11-06,,
210,陈淑兰,女,15880173011,qinqiang@example.com,在职,财务主管,财务部,2014-08-02,,
211,陈刚,男,18836531900,yanxiao@example.org,在职,市场专员,市场部,2013-10-21,,产品运行什么任何然后.
212,周鹏,女,15111513273,moxiuying@example.com,在职,销售经理,销售部,2014-01-20,,
213,梁成,男,18690697832,chao72@example.com,在职,HR专员,人事部,2018-11-04,,
214,朱秀兰,男,13691239718,gang06@example.com,在职,销售经理,销售部,2016-12-01,,
215,黄颖,男,14790635232,tao03@example.net,离职,市场专员,市场部,2017-04-12,2020-05-26,可能国家到了知道需要.
216,王秀英,女,15247545008,yimin@example.net,在职,销售经理,销售部,2017-02-08,,
217,张建国,男,15854927351,na52@example.com,在职,市场专员,市场部,2015-12-08,,
218,宋秀华,男,15694679939,dcao@example.org,在职,销售经理,销售部,2014-08-16,,
219,蒲英,男,15013126143,haojuan@example.org,在职,销售代表,销售部,2019-02-06,,
220,黄博,女,18818094447,imo@example.org,在职,市场专员,市场部,2016-07-07,,世界所以男人软件提供手机.
221,韩兰英,男,15551210264,yangdu@example.com,在职,架构师,技术部,2015-10-26,,
222,刘晶,男,15107525866,liuxia@example.net,在职,出纳,财务部,2017-02-19,,
223,向丽,女,13032155930,lizou@example.com,在职,前端工程师,技术部,2015-06-25,,
224,冯浩,男,15133558222,xia37@example.org,在职,市场经理,市场部,2015-04-04,,
225,黄帆,男,13331468182,jiangfang@example.org,在职,架构师,技术部,2013-11-12,,
226,萧霞,男,15347327203,fzhou@example.net,在职,HR专员,人事部,2017-10-24,,
227,彭桂花,男,14549635836,juangu@example.org,在职,会计,财务部,2018-04-24,,
228,林丽,女,13619392341,laijing@example.net,在职,销售代表,销售部,2016-06-13,,通过已经生产点击免费网上要求.
229,徐欣,男,18577699769,xuechao@example.com,在职,人事经理,人事部,2019-11-09,,
230,王洋,女,14562911421,shaowei@example.org,在职,销售经理,销售部,2018-02-15,,
231,朱玉梅,女,13971645805,zhangxia@example.net,离职,市场经理,市场部,2020-07-24,2020-12-06,
232,刘健,男,15657686962,jie19@example.net,在职,会计,财务部,2018-09-07,,
233,宋荣,女,18757219243,weigong@example.com,离职,HR专员,人事部,2020-08-15,2020-11-29,
234,刘玉,女,13510167866,yan05@example.com,离职,市场经理,市场部,2016-09-22,2018-09-06,
235,聂荣,女,14533789727,fangzhou@example.net,在职,后端工程师,技术部,2017-01-01,,
236,王浩,女,15695573424,tchang@example.org,在职,人事经理,人事部,2014-02-04,,
237,孙斌,女,13174918569,longjuan@example.com,在职,市场经理,市场部,2018-01-13,,
238,张林,男,13641646916,xieguiying@example.com,在职,销售代表,销售部,2014-03-07,,
239,任琴,女,13123515672,fangjing@example.org,离职,市场经理,市场部,2017-04-12,2019-10-09,
240,杨建军,男,18658680041,ping90@example.com,在职,销售代表,销售部,2015-09-05,,
241,张凯,男,15634111344,junsun@example.net,在职,销售代表,销售部,2019-05-25,,
242,刘雪,女,13988406987,lyu@example.org,在职,市场专员,市场部,2016-11-21,,
243,龚桂珍,男,18976135773,jzhao@example.com,在职,HR专员,人事部,2018-04-11,,工程同时控制行业教育.
244,钟凤英,女,18118522167,min72@example.org,在职,销售代表,销售部,2014-02-14,,文章在线最后新闻你的参加.
245,石萍,男,14504821992,tao49@example.org,离职,财务主管,财务部,2018-11-30,2019-11-16,
246,李帆,女,13395114201,yigang@example.org,离职,HR专员,人事部,2017-05-22,2019-03-27,项目阅读来源当前.
247,刘秀珍,男,18252467369,zsong@example.org,在职,市场专员,市场部,2020-07-26,,
248,王凯,男,15067762975,weigang@example.org,在职,市场经理,市场部,2019-04-15,,
249,夏燕,女,15289160127,lqin@example.net,在职,市场专员,市场部,2019-01-28,,
250,潘桂花,男,13992756698,wangguiying@example.net,在职,销售经理,销售部,2019-12-21,,
251,欧建平,男,15832314478,xiulanjin@example.org,离职,HR专员,人事部,2018-06-18,2019-07-29,
252,祁建军,男,18668251410,jxu@example.com,在职,销售经理,销售部,2020-09-19,,
253,鲍桂花,女,14569904493,guiyinghuang@example.com,在职,销售经理,销售部,2019-06-03,,
254,张娟,女,15182832910,fang55@example.org,在职,人事经理,人事部,2017-07-21,,信息登录没有有些自己的话发现.
255,吴瑜,男,13309365569,taolai@example.net,离职,财务主管,财务部,2015-02-17,2016-08-12,
256,孙亮,女,13231152490,yuanna@example.org,离职,出纳,财务部,2018-10-20,2020-09-12,
257,孙英,男,14531747997,yang94@example.net,在职,测试工程师,技术部,2016-11-19,,
258,陆强,女,13876744557,efeng@example.net,在职,销售经理,销售部,2019-09-18,,决定你的解决管理专业阅读运行.
259,王雪梅,男,15913407158,ddai@example.net,在职,市场专员,市场部,2014-05-31,,
260,张玉华,男,18178037593,gangzhao@example.net,在职,销售经理,销售部,2016-09-23,,这里功能经营帮助.
261,杨金凤,男,18547193105,jinna@example.com,在职,测试工程师,技术部,2017-03-05,,问题一个各种目前问题简介法律一直.
262,郑强,女,18240769570,lei73@example.org,在职,市场经理,市场部,2015-07-14,,
263,邓秀芳,女,15033255135,guiying33@example.org,在职,出纳,财务部,2019-02-22,,
264,李莉,女,18802253212,fluo@example.com,离职,市场经理,市场部,2013-11-15,2014-05-15,控制语言部门是否他们质量之间.
265,杨龙,女,14510292614,xiasong@example.com,在职,人事经理,人事部,2015-07-21,,
266,孙坤,女,14525613748,xia33@example.org,在职,出纳,财务部,2015-09-22,,游戏你们地区一定应用那么部分.
267,董颖,女,13775523688,xiulan62@example.org,在职,市场经理,市场部,2013-11-07,,
268,沈岩,男,18046364583,ohan@example.com,在职,财务主管,财务部,2017-08-05,,
269,王桂兰,女,15061310499,phao@example.org,在职,销售经理,销售部,2016-11-28,,
270,蔡秀英,女,15533780811,wei71@example.org,在职,销售经理,销售部,2020-01-02,,
271,黄兰英,女,13767448724,na31@example.com,在职,市场专员,市场部,2016-01-09,,
272,杜梅,男,15925989144,pfang@example.org,在职,销售经理,销售部,2020-04-12,,
273,安玉梅,男,14799294438,duanmin@example.org,离职,销售代表,销售部,2017-08-21,2019-09-25,合作她的那么.
274,成燕,女,18725906738,jingliang@example.com,离职,后端工程师,技术部,2020-06-09,2020-07-21,
275,孙欣,女,13867258546,chaoshao@example.com,在职,市场专员,市场部,2020-05-19,,
276,陈丽,男,15365191330,xiuying42@example.net,在职,销售经理,销售部,2020-12-19,,
277,王春梅,男,15197738218,khuang@example.net,在职,架构师,技术部,2016-09-21,,软件都是很多内容.
278,张颖,女,13402852845,yangping@example.com,在职,销售经理,销售部,2016-11-19,,
279,李建华,男,13998058826,tao53@example.org,在职,测试工程师,技术部,2015-09-15,,
280,杜军,男,13913717224,yong75@example.net,在职,销售经理,销售部,2015-08-08,,
281,周秀云,男,15823454273,ajin@example.net,在职,后端工程师,技术部,2017-02-16,,
282,马想,女,15805836891,kanglei@example.net,在职,架构师,技术部,2014-12-13,,首页工程一下感觉电子教育.
283,许燕,女,15016798403,mliu@example.net,离职,会计,财务部,2015-06-23,2017-08-02,
284,阳丽,男,13501387285,jinming@example.com,离职,市场专员,市场部,2020-10-21,2020-12-09,
285,孟瑜,女,15606995986,weili@example.org,离职,销售经理,销售部,2019-03-30,2020-03-03,
286,龚利,女,13997336742,tcao@example.com,在职,销售经理,销售部,2015-08-25,,
287,秦杨,女,15372235022,gangding@example.com,离职,销售代表,销售部,2017-06-19,2017-06-30,
288,江莉,女,15173223259,gangyan@example.net,在职,会计,财务部,2015-06-11,,成为生活相关电子以上.
